date,name,n
1880-01-01,Helen,636
1880-01-01,Amanda,241
1880-01-01,Betty,117
1880-01-01,Dorothy,112
1880-01-01,Linda,27
1880-01-01,Deborah,12
1880-01-01,Jessica,7
1881-01-01,Helen,612
1881-01-01,Amanda,263
1881-01-01,Betty,112
1881-01-01,Dorothy,109
1881-01-01,Linda,38
1881-01-01,Deborah,14
1881-01-01,Jessica,7
1882-01-01,Helen,838
1882-01-01,Amanda,288
1882-01-01,Betty,123
1882-01-01,Dorothy,115
1882-01-01,Linda,36
1882-01-01,Deborah,15
1882-01-01,Jessica,8
1883-01-01,Helen,862
1883-01-01,Amanda,287
1883-01-01,Dorothy,141
1883-01-01,Betty,120
1883-01-01,Linda,49
1883-01-01,Deborah,16
1883-01-01,Jessica,6
1884-01-01,Helen,986
1884-01-01,Amanda,337
1884-01-01,Dorothy,163
1884-01-01,Betty,144
1884-01-01,Linda,33
1884-01-01,Jessica,14
1884-01-01,Deborah,13
1884-01-01,Patricia,6
1885-01-01,Helen,1134
1885-01-01,Amanda,339
1885-01-01,Dorothy,196
1885-01-01,Betty,155
1885-01-01,Linda,60
1885-01-01,Deborah,10
1885-01-01,Jessica,6
1885-01-01,Patricia,5
1886-01-01,Helen,1267
1886-01-01,Amanda,370
1886-01-01,Dorothy,230
1886-01-01,Betty,167
1886-01-01,Linda,49
1886-01-01,Jessica,11
1886-01-01,Deborah,10
1886-01-01,Patricia,8
